effort_type,1964,1965,1966,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
parties,,,,7,,9,8,11,6,6,7,7,10,17,12,16,,,,,10,,20,24,23,16,,36,,42,42,45,53,53,46,59,52,56,57,59,60,61,63,64,65,66,43,42,44,44,49,45,88,91,90,148,82,120,117,106
participants,,,,16,,18,21,27,12,14,15,20,10,38,36,38,,,,,43,,51,42,56,43,,52,,68,89,70,119,119,114,102,100,103,92,110,103,128,92,104,100,103,99,100,107,91,106,102,101,108,109,157,82,149,137,137
miles_car,,,,186,,215,216,295,189,261,166,354,212,398,330,489,,,,,295,,309,346,258,324,,318.25,,,,477.25,552.75,607,528,565,395,649,684,535,489,527,441,609,589,545,475,552,513,515,469,383,699,572,558,569,368,434,450,427
miles_foot,,,,4,,15,10,11,2,8,4,17,14,17,20,20,,,,,24,,23,48,31.25,31,,35.5,,,,49.5,52.25,62,82,116,145,69,70,76,67,66,76,46,42,73,60,54,66,74,99,77,74,60,95,148,83.7,71,81,82
miles_ski_snowshoe,,,,,,,7,3,10,6,2,,21,35,13,6,,,,,12,,18,32,50.5,16.5,,28.5,,,,18.2,35.75,23,27,47,10,9,4,27,29,73,20,13,15,62,16,60,32,39,22,38,28,29,46,48,54,36,55,34
miles_other,,,,,,,,,,,15,,5,,,,,,,,,,6,5,20,2,,,,,,9,61,35,20,42,16,4,23,33,25,10,21,22,36,20,13,37,27,17,40,28,36,24,23,33,15,38,43,14
total_miles,,,,190,0,230,233,309,201,275,187,371,252,450,363,515,,,,,331,0,356,431,360,374,,382,,,,554,702,727,657,770,566,731,781,671,610,676,558,690,682,700,582,703,638,645,629,527,836,685,722,798,520.7,578,692,558
hours_car,,,,23,,18,16,31,17,20,16,34,20,45,30,30.5,,,,,27,,32,32.25,33,38.5,,,,,39,68.25,89.75,67,62,76,51,84,85,79,72,78,69,83,84,78,67,69,77,78,68,64,71,88,84,79,73,60,54,53
hours_foot,,,,3,,12,9,6,1,9,4,9,5,13,14,18.5,,,,,8,,15,25.5,27.75,18.75,,,,,29,37.75,43,47,56,84,95,44,49,54,58,47,41,34,33,55,38,37,47,56,76,67,54,52,90,79,58,55,62,61
hours_ski_snowshoe,,,,,,,2,3,5,4,1,,11,14,7,5,,,,,2,,4,14,23,5.75,,,,,17,9.25,22.5,13,15,12,5,5,2,13,11,30,12,7,7,30,8,23,12,6,10,22,12,15,32,25,25,17,27,15
hours_other,,,,,,,,,,,3,,1,,,,,,,,,,1,,4.5,5,,,,,,3,3,5,3,7,4,1,3,7,5,2,5,3,6,1,0,10,8,6,15,9,8,6,6,9,3,14,10,7
hours_feeder,,,,,,6,8,10,13,10,12,21,,3,15,25,,,,,36,,,,,,,37,,,,37.75,42,42,77,57,79,63,65,51,36,66,65,67,72,75,53,50,48,84,75,69,90,88,71,152,98,100,110,101
total_hours,,,,26,,36,35,50,36,43,36,64,37,75,66,79,,,,,73,,52,72,88,68,,37,,,85,156,200,174,213,236,234,197,204,204,181,223,192,194,202,224,119,188,191,239,243,230,234.65,249,283,344,257,246,262.69,236
avg_bird/hr,,,,22,,18,20,30,63,32,27,23,43,46,24,27,,,,,39,,100,39,,32,,29,,50,21,29,62,46,32,57,48,64,20,60,33,45,30,51,42,33,54,45,24,30,17,30,14,35,16,46,14,28,28,20
avg_bird/participant,,,,36,,36,33,55,189,75,44,49,158,87,33,39,,,,,66,,102,66,74,51,,51,,92,35,49,83,51,38,100,74,83,45,111,57,79,63,94,85,72,65,85,43,80,39,67,31,81,42,100,43,47,53,33